status = E
*****************RX_Mode start******************************R
 82 73 56 45 C3 : 07 A3 50 6F BC AE AC AA 59 B9 57 4D C2 51 6B 53 2D 6B 92 64 94 B2 94 AA 80 A5 4D 57 6F 5D 45 54 
 11 27 21 94 2A : 1B 95 51 03 00 7C FF F1 7E B0 BC B2 52 57 22 C3 41 5E D5 D0 55 55 55 57 5D FC 44 9C 86 50 A8 0C 
 82 73 56 45 C3 : 04 A3 05 3C B2 56 AA 6D 9A 35 54 62 D9 2A C9 57 5D D5 D3 55 56 B0 B4 0A DD 53 32 5A E9 AA 59 BC 
 82 73 56 45 C3 : 04 A3 05 3C BE 56 D6 A5 DE 3A AB 99 CA AA D4 B2 49 B3 15 29 6A AA AA B5 55 AD F6 45 C6 C7 CF 98 
 82 73 56 45 C3 : 04 A3 05 3C BA AD 66 95 69 55 3B A8 BD 58 AF 6A D3 52 28 B5 4F 2A DA B5 55 64 94 DB 55 5E F5 AD 
 11 27 21 94 2A : 18 95 51 03 00 7C FF A1 EC 54 9B 55 45 12 A4 2D 74 51 01 EA AA AA AA AA AE FE 22 4E 43 28 54 00 
 82 73 56 45 C3 : 05 A3 36 0D BB 4F D6 B6 58 C1 B6 D7 2A CF 57 EA 52 ED 2A AE CA DB 6B A7 E4 BA D3 5F 31 78 CE B5 
 82 73 56 45 C3 : 05 A3 36 0D B4 E4 A9 55 0B 41 95 BB 7A C4 B3 66 AA 15 28 93 52 2D 5D 52 8B 5E 92 A5 21 BE DB EA 
 11 27 21 94 2A : 19 95 51 03 00 7C FF 91 9D BB 75 DD AA BF B5 76 2B A7 AB F5 55 55 55 55 56 D6 22 4E 43 28 54 02 
 82 73 56 45 C3 : 06 A3 63 5E BB 25 2A A2 85 4A A5 5A 36 D4 45 54 FA 23 DB 54 AA A8 93 68 5F 28 55 2D 49 58 03 49 
 82 73 56 45 C3 : 06 A3 63 5E B1 3A ED 3B 83 5D AA 15 65 AA D9 D7 96 2A BB F2 97 BD FF DB BD 39 57 BF B5 B5 FD DB 
 11 27 21 94 2A : 1A 95 51 03 00 7C FF C1 0F 56 BE 71 6A 6D 4A 4A AA AA AB F5 55 55 55 55 56 FE 22 4E 43 28 54 04 
 82 73 56 45 C3 : 07 A3 50 6F B9 2B A8 54 D5 4A 99 54 A5 2A AA B5 75 4E D2 CD CA A4 23 2D B9 69 5C 27 4F 56 AE 44 
 82 73 56 45 C3 : 07 A3 50 6F BA D4 5A 36 B5 0D 15 A3 5D D2 F9 E9 24 EA 6A B7 14 E9 A2 E9 02 9B 46 75 DA A9 5D 63 
 11 27 21 94 2A : 1B 95 51 03 00 7C FF F1 7E B6 C4 B5 6D 45 03 8A 6F AB AB F5 55 55 55 D5 56 F6 22 4E 43 28 54 06 
 82 73 56 45 C3 : 04 A3 05 3C BF B4 ED C2 5A 2D 4B 9F 69 B1 56 74 6C A9 6D 5A AA 68 ED DA 74 98 E9 5C 8D B6 DA 55 
 11 27 21 94 2A : 18 95 51 03 00 7C FF A1 EC 54 16 95 2A C5 4A 43 4A AA EB F5 55 55 55 55 57 6A 88 93 90 CA 15 00 
 82 73 56 45 C3 : 05 A3 36 0D B5 95 1C DA BD 65 22 82 CA C9 6A C6 AD D1 51 52 65 52 D6 A9 68 9D 52 D5 28 35 55 1A 
 82 73 56 45 C3 : 05 A3 36 0D BB 1B 36 A9 B5 2B FA AD 4A 55 A9 FD ED AA AB 12 AB 7E CA 87 6A 6A 56 B6 DB 5C BB 97 
 82 73 56 45 C3 : 05 A3 36 0D BA A6 85 D6 A6 AA CD 29 4B BA 5E 46 DC 6A 95 49 16 B2 26 A8 D9 08 A9 54 A8 BA C8 E4 
 11 27 21 94 2A : 19 95 51 03 00 7C FF 91 9D B1 05 D5 68 CB 48 1A 85 1A AB F4 D5 55 55 55 5D AA 22 4E 43 28 54 02 
 82 73 56 45 C3 : 06 A3 63 5E B7 4D 14 AE A2 AA 65 0A A9 CD 59 DA 29 75 49 AB F6 EA C5 D1 EA A6 AA 95 5A EB 4B 55 
 82 73 56 45 C3 : 06 A3 63 5E B4 AA DA 9D D9 52 58 D5 55 4E B5 59 55 56 EB 56 ED 52 A8 88 95 6D 4D AA 8F 6B 55 5A 
 11 27 21 94 2A : 1A 95 51 03 00 7C FF C1 0F 5C 8E AA 97 BD 1E 02 AA AA A7 FA AA AA AA AA AD AA 22 4E 43 28 54 04 
 82 73 56 45 C3 : 07 A3 50 6F B2 D1 75 BE AA 47 62 54 5D AB 52 40 97 43 40 63 08 A1 85 41 4A A4 14 4A 21 51 6B C4 
 11 27 21 94 2A : 1B 95 51 03 00 7C FF F1 7E AA A4 8A 8A 82 AA 92 22 55 AB F5 55 55 55 55 56 FE 22 4E 43 28 54 06 
 82 73 56 45 C3 : 04 A3 05 3C BD 58 DB 56 C4 55 E6 A8 48 A5 AE FD 6B 7D F6 FF DF BD FF F3 F4 A4 21 ED 7E AF 93 DB 
 82 73 56 45 C3 : 04 A3 05 3C BA D9 D5 54 D5 AD 55 9A D6 E5 29 45 A9 DA 69 C4 9A D8 E9 46 EE AA A9 52 B5 98 2C 94 
 82 73 56 45 C3 : 04 A3 05 3C B6 4E 56 A7 55 62 B9 B5 B4 AD DC DF 54 2A B7 2D 91 B5 C9 A7 16 A5 9A 74 AB BB 7E B9 
 11 27 21 94 2A : 18 95 51 03 00 7C FF A1 EC 5A CA AA 95 45 D2 AD 4B 3F 41 48 2A AA AA AA AD FC 44 9C 86 50 A8 00 
 82 73 56 45 C3 : 05 A3 36 0D BB 6B 7A 50 37 95 4B 54 D6 39 BE F5 DF 4B 6F 55 68 9C 5D 6A AA CD 54 A9 56 9B 65 E9 
 82 73 56 45 C3 : 05 A3 36 0D BF FE BB 35 FA FD 5B DF EF AB BE FE BB BA AD DF B2 BF FD ED 7F 9F D6 FA AF 3D E3 FE 
 11 27 21 94 2A : 19 95 51 03 00 7C FF 91 9D BF 47 6A FE 91 30 AA C5 4D F7 EA AA AA AA AA BE F4 22 4E 43 28 54 02 
 82 73 56 45 C3 : 06 A3 63 5E BA DE 3A D2 54 DD D5 63 94 AF D6 4C 26 D5 62 1B 2D B1 37 33 74 D2 62 F4 6A 64 8D B3 
 11 27 21 94 2A : 1A 95 51 03 00 7C FF C1 0F 5C D4 AA AA 33 73 95 7A 55 6B FD 55 55 55 55 76 FE 22 4E 43 28 54 04 
 82 73 56 45 C3 : 07 A3 50 6F B7 AC F6 89 D4 CA 35 96 79 6F 5A D5 C4 D8 94 C9 2D 19 6B 22 1A 5D CD BB 22 5B B9 2B 
 82 73 56 45 C3 : 07 A3 50 6F B8 B8 69 AB CD 6B 62 96 66 AA B9 AD 65 B2 E3 52 BA A9 6A 94 CC 6A D1 6A 34 EE DB 5E 
 82 73 56 45 C3 : 07 A3 50 6F B2 AE 67 4A B5 5E 8A 72 A9 AB AF 9E DE AB 66 65 5B 65 4D 76 D7 6A BA B5 7C 8A 52 B2 
 11 27 21 94 2A : 1B 95 51 03 00 7C FF F1 7E BC A0 D7 6B 22 A5 60 95 55 55 EA 2A AA AA AA AE FE 22 4E 43 28 54 06 
